title,release_year,budget,revenue,loss,genres
That's My Boy,2012,70000000.0,58058367.0,11941633.0,Comedy
Whiskey Tango Foxtrot,2016,35000000.0,23083334.0,11916666.0,"War, Comedy"
Cirque du Freak: The Vampire's Assistant,2009,40000000.0,28169671.0,11830329.0,"Adventure, Fantasy, Action, Thriller"
Antitrust,2001,30000000.0,18195610.0,11804390.0,"Action, Crime, Drama"
Dream House,2011,50000000.0,38502340.0,11497660.0,"Drama, Thriller, Mystery"
Looney Tunes: Back in Action,2003,80000000.0,68514844.0,11485156.0,"Animation, Comedy, Family"
Oscar,1991,35000000.0,23562716.0,11437284.0,"Action, Comedy, Thriller, Family"
The Avengers,1998,60000000.0,48585416.0,11414584.0,Thriller
An Unfinished Life,2005,30000000.0,18618284.0,11381716.0,Drama
The Life of David Gale,2003,50000000.0,38955598.0,11044402.0,"Drama, Thriller, Crime"
Shorts,2009,40000000.0,28972508.0,11027492.0,"Comedy, Family"
Wanderlust,2012,35000000.0,24159934.0,10840066.0,Comedy
The Replacement Killers,1998,30000000.0,19204929.0,10795071.0,"Action, Drama, Crime, Thriller"
Aloha,2015,37000000.0,26250020.0,10749980.0,"Drama, Comedy, Romance"
Sahara,2005,130000000.0,119269486.0,10730514.0,"Action, Adventure, Comedy, Drama, Mystery"
Keeping Up with the Joneses,2016,40000000.0,29918745.0,10081255.0,"Action, Comedy"
Midnight in the Garden of Good and Evil,1997,35000000.0,25105255.0,9894745.0,"Crime, Drama, Mystery, Thriller"
The Deep End of the Ocean,1999,38000000.0,28121100.0,9878900.0,"Drama, Mystery"
Reindeer Games,2000,42000000.0,32168970.0,9831030.0,Thriller
Grimsby,2016,35000000.0,25182929.0,9817071.0,"Action, Comedy"
The Art of War,2000,40000000.0,30199105.0,9800895.0,"Crime, Action, Adventure"
Bridget Jones: The Edge of Reason,2004,50000000.0,40203020.0,9796980.0,"Comedy, Romance"
North Country,2005,35000000.0,25224242.0,9775758.0,Drama
Æon Flux,2005,62000000.0,52304001.0,9695999.0,"Action, Science Fiction"
The Way Back,2010,30000000.0,20348249.0,9651751.0,"Drama, Adventure, History"
Jack Ryan: Shadow Recruit,2014,60000000.0,50549107.0,9450893.0,"Action, Drama, Thriller"
Meet Dave,2008,60000000.0,50650079.0,9349921.0,"Comedy, Science Fiction, Adventure, Family"
Gamer,2009,50000000.0,40828540.0,9171460.0,"Action, Thriller, Science Fiction"
Superhero Movie,2008,35000000.0,25871834.0,9128166.0,"Action, Comedy, Science Fiction"
The Tale of Despereaux,2008,60000000.0,50877145.0,9122855.0,"Adventure, Animation, Family"
James and the Giant Peach,1996,38000000.0,28921264.0,9078736.0,"Adventure, Animation, Family"
Dune,1984,40000000.0,30925690.0,9074310.0,"Action, Science Fiction, Adventure"
Billy Lynn's Long Halftime Walk,2016,40000000.0,30930984.0,9069016.0,"Drama, War"
Dredd,2012,50000000.0,41037742.0,8962258.0,"Action, Science Fiction"
Happily N'Ever After,2006,47000000.0,38085778.0,8914222.0,"Animation, Comedy, Family, Fantasy, Science Fiction"
The Legend of Hercules,2014,70000000.0,61279452.0,8720548.0,"Action, Adventure"
Gremlins 2: The New Batch,1990,50000000.0,41482207.0,8517793.0,"Comedy, Horror, Fantasy"
Rent,2005,40000000.0,31670620.0,8329380.0,"Drama, Romance"
Killer Elite,2011,66000000.0,57777106.0,8222894.0,"Action, Adventure, Thriller"
Mr. 3000,2004,30000000.0,21800302.0,8199698.0,"Comedy, Drama"
Pulse,2006,38000000.0,29907685.0,8092315.0,"Horror, Thriller"
Oliver Twist,2005,50000000.0,42093706.0,7906294.0,"Crime, Drama, Family"
Flash Gordon,1980,35000000.0,27107960.0,7892040.0,Science Fiction
Doomsday,2008,30000000.0,22211426.0,7788574.0,"Action, Thriller, Science Fiction"
Escape from L.A.,1996,50000000.0,42277365.0,7722635.0,"Action, Adventure, Science Fiction, Thriller"
Dragonfly,2002,60000000.0,52322400.0,7677600.0,Drama
Mandela: Long Walk to Freedom,2013,35000000.0,27330000.0,7670000.0,"Drama, History"
Red Tails,2012,58000000.0,50365377.0,7634623.0,"Drama, Action, Adventure, History, War"
The Young Victoria,2009,35000000.0,27409889.0,7590111.0,Drama
Bandits,2001,75000000.0,67631903.0,7368097.0,"Action, Comedy, Crime, Romance"
Showtime,2002,85000000.0,77741732.0,7258268.0,"Action, Comedy"
Basic,2003,50000000.0,42792561.0,7207439.0,"Action, Drama, Mystery, Thriller, Crime"
The Producers,2005,45000000.0,38058335.0,6941665.0,"Comedy, Music"
The Thing,2011,35000000.0,28128670.0,6871330.0,"Horror, Science Fiction, Mystery, Thriller"
Hearts in Atlantis,2001,31000000.0,24185781.0,6814219.0,"Drama, Mystery"
Life,1999,80000000.0,73345029.0,6654971.0,"Comedy, Crime"
Collateral Damage,2002,85000000.0,78382433.0,6617567.0,"Action, Thriller, Drama"
Last Holiday,2006,45000000.0,38399961.0,6600039.0,"Adventure, Comedy, Drama"
Original Sin,2001,42000000.0,35402320.0,6597680.0,Thriller
The Glass House,2001,30000000.0,23619609.0,6380391.0,"Drama, Thriller"
Bicentennial Man,1999,100000000.0,93700000.0,6300000.0,"Comedy, Science Fiction"
In the Heart of the Sea,2015,100000000.0,93820758.0,6179242.0,"Thriller, Drama, Adventure, Action, History"
Home on the Range,2004,110000000.0,103951461.0,6048539.0,"Animation, Family"
Children of Men,2006,76000000.0,69959751.0,6040249.0,"Drama, Action, Thriller, Science Fiction"
Virtuosity,1995,30000000.0,24048000.0,5952000.0,"Action, Crime, Science Fiction, Thriller"
Ben-Hur,2016,100000000.0,94061311.0,5938689.0,"Adventure, Drama, Action"
Victor Frankenstein,2015,40000000.0,34227298.0,5772702.0,"Drama, Science Fiction, Thriller"
The Pledge,2001,35000000.0,29400000.0,5600000.0,"Crime, Drama, Mystery, Thriller"
Into the Blue,2005,50000000.0,44434439.0,5565561.0,"Action, Thriller, Adventure, Crime"
The Negotiator,1998,50000000.0,44547681.0,5452319.0,"Action, Adventure, Crime, Drama, Mystery, Thriller"
The Four Feathers,2002,35000000.0,29882645.0,5117355.0,"War, Adventure, Drama, Romance"
Green Zone,2010,100000000.0,94882889.0,5117111.0,"War, Action, Adventure, Drama, Thriller"
Edge of Darkness,2010,80000000.0,74901339.0,5098661.0,"Crime, Drama, Mystery, Thriller"
Analyze That,2002,60000000.0,55003135.0,4996865.0,"Comedy, Crime"
Elizabethtown,2005,57000000.0,52034889.0,4965111.0,"Comedy, Drama, Romance"
Dark Water,2005,30000000.0,25473093.0,4526907.0,"Drama, Horror, Thriller"
Mimic,1997,30000000.0,25480490.0,4519510.0,"Fantasy, Horror, Thriller"
Two for the Money,2005,35000000.0,30526509.0,4473491.0,"Comedy, Crime, Drama, Thriller"
The Road,2009,32000000.0,27635305.0,4364695.0,"Adventure, Drama"
The Rundown,2003,85000000.0,80916492.0,4083508.0,"Adventure, Action, Comedy, Thriller"
Bad Company,2002,70000000.0,65977295.0,4022705.0,"Action, Adventure, Comedy, Thriller"
Doom,2005,60000000.0,55987321.0,4012679.0,"Adventure, Action, Horror"
Hanging Up,2000,40000000.0,36037909.0,3962091.0,"Comedy, Drama"
Premium Rush,2012,35000000.0,31083599.0,3916401.0,"Crime, Action, Thriller"
The Master,2012,32000000.0,28258060.0,3741940.0,Drama
Frankenweenie,2012,39000000.0,35287788.0,3712212.0,"Animation, Comedy, Family"
15 Minutes,2001,60000000.0,56359980.0,3640020.0,"Action, Crime, Thriller"
Ella Enchanted,2004,31000000.0,27388767.0,3611233.0,"Family, Fantasy, Comedy"
The Doors,1991,38000000.0,34416893.0,3583107.0,"Drama, Music"
For Richer or Poorer,1997,35000000.0,31611225.0,3388775.0,Comedy
1941,1979,35000000.0,31755742.0,3244258.0,"Action, Comedy"
The Invisible,2007,30000000.0,26810113.0,3189887.0,"Crime, Drama, Fantasy, Mystery, Thriller"
One for the Money,2012,40000000.0,36893721.0,3106279.0,"Action, Comedy, Crime"
Tristan & Isolde,2006,31000000.0,28000000.0,3000000.0,Drama
The Dilemma,2011,70000000.0,67112664.0,2887336.0,"Comedy, Drama"
Snowden,2016,40000000.0,37279439.0,2720561.0,"Drama, Thriller"
The Incredible Burt Wonderstone,2013,30000000.0,27437881.0,2562119.0,Comedy
Matilda,1996,36000000.0,33459416.0,2540584.0,"Comedy, Family, Fantasy"
Untraceable,2008,35000000.0,32483410.0,2516590.0,Drama
Bangkok Dangerous,2008,45000000.0,42487390.0,2512610.0,"Action, Crime, Thriller"
Inkheart,2008,60000000.0,57490374.0,2509626.0,"Adventure, Family, Fantasy"
Goal!: The Dream Begins,2005,30000000.0,27610873.0,2389127.0,Drama
The Quiet American,2002,30000000.0,27674124.0,2325876.0,"Drama, Action, Thriller, Romance"
Fred Claus,2007,100000000.0,97838349.0,2161651.0,"Action, Comedy, Drama"
Evan Almighty,2007,175000000.0,173000000.0,2000000.0,"Fantasy, Comedy, Family"
Exorcist: The Beginning,2004,80000000.0,78000586.0,1999414.0,"Horror, Mystery, Thriller"
G.I. Jane,1997,50000000.0,48169156.0,1830844.0,"Action, Drama"
Quest for Camelot,1998,40000000.0,38172500.0,1827500.0,"Fantasy, Animation, Drama, Romance, Family"
The Age of Innocence,1993,34000000.0,32255440.0,1744560.0,"Drama, Romance"
HOUBA! On the Trail of the Marsupilami,2012,50000000.0,48600000.0,1400000.0,"Adventure, Comedy"
The Wicker Man,2006,40000000.0,38755073.0,1244927.0,"Mystery, Thriller, Horror"
On Deadly Ground,1994,50000000.0,49000000.0,1000000.0,"Action, Thriller"
The Black Dahlia,2006,50000000.0,49111202.0,888798.0,Drama
Bulworth,1998,30000000.0,29202884.0,797116.0,"Comedy, Drama"
Zathura: A Space Adventure,2005,65000000.0,64321501.0,678499.0,"Family, Fantasy, Science Fiction, Adventure"
The Frighteners,1996,30000000.0,29359216.0,640784.0,"Horror, Comedy"
Raising Helen,2004,50000000.0,49718611.0,281389.0,"Drama, Comedy, Romance"
The Brave One,2007,70000000.0,69766619.0,233381.0,"Crime, Drama, Thriller"
Serenity,2005,39000000.0,38869464.0,130536.0,"Science Fiction, Action, Adventure, Thriller"
